collegeCode,collegeName,district,university,aicteId,approvalStatus,confidenceScore
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","HYD","JNTUH","1-450302691","VERIFIED_ACTIVE",99
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","MDL","JNTUH","1-4483671","VERIFIED_ACTIVE",99
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","RR","JNTUH","1-6104121","VERIFIED_ACTIVE",99
"ANRK","ANURAG ENGINEERING COLLEGE AUTONOMOUS","SRP","JNTUH","1-2813291016","VERIFIED_ACTIVE",99
"AVNI","AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)","RR","JNTUH","1-4601111","VERIFIED_ACTIVE",99
"BIET","BHARAT INSTITUTE OF ENGG AND TECHNOLOGY","RR","JNTUH","1-5452991","VERIFIED_ACTIVE",99
"BVRI","B V RAJU INSTITUTE OF TECHNOLOGY","MED","JNTUH","1-4315201","VERIFIED_ACTIVE",99
"BVRW","BVRIT COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS)","MDL","JNTUH","1-4755101","VERIFIED_ACTIVE",99
"CBIT","CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY","RR","OU","1-4735791","VERIFIED_ACTIVE",99
"CMRK","C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS)","MDL","JNTUH","1-4809221","VERIFIED_ACTIVE",99
"CVRH","CVR COLLEGE OF ENGINEERING","RR","JNTUH","1-4752531","VERIFIED_ACTIVE",99
"IARE","INSTITUTE OF AERONAUTICAL ENGINEERING","MDL","JNTUH","1-4886611","VERIFIED_ACTIVE",99
"KMIT","KESHAV MEMORIAL INST OF TECHNOLOGY","HYD","JNTUH","1-3253724","VERIFIED_ACTIVE",99
"MGIT","MAHATMA GANDHI INSTITUTE OF TECHNOLOGY (AUTONOMOUS)","RR","JNTUH","1-5100051","VERIFIED_ACTIVE",99
"MVSR","M V S R ENGINEERING COLLEGE (AUTONOMOUS)","RR","OU","1-4819921","VERIFIED_ACTIVE",99
"NGIT","NEIL GOGTE INST OF TECHNOLOGY","MDL","OU","1-4861111","VERIFIED_ACTIVE",99
"SNIS","SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY","MDL","JNTUH","1-4632001","VERIFIED_ACTIVE",99
"VASV","VASAVI COLLEGE OF ENGINEERING","HYD","OU","1-5374941","VERIFIED_ACTIVE",99
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH","MDL","JNTUH","1-4561021","VERIFIED_ACTIVE",99
"VJIT","VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS","RR","JNTUH","1-5259921","VERIFIED_ACTIVE",99
